"ID","MonthlyIncome"
871,5549.60672179263
872,2712.75510753845
873,12814.8121335122
874,2344.14049627171
875,2757.92848247116
876,4918.16452346124
877,5289.33732836472
878,2203.22638219017
879,2941.14504779261
880,13364.4562848305
881,9693.7687132114
882,2587.04717127627
883,5603.62415340918
884,5353.03729035122
885,5790.24657539777
886,5541.71187118543
887,5769.93701922832
888,5598.79201317327
889,4486.95933379686
890,2706.96370133055
891,4609.43369943068
892,8989.65821773592
893,8881.68301576883
894,5497.33643755231
895,9948.92624258477
896,9149.94050643685
897,8891.66211245659
898,15772.9890169755
899,5664.87882279977
900,2729.09361776999
901,2583.32974375265
902,5543.25288234763
903,6023.67413001692
904,2664.89906430091
905,16458.5295846047
906,5327.6158932566
907,9291.1042735247
908,5818.25753667988
909,2547.25501634781
910,2587.24924400325
911,19163.0252999265
912,2762.34530983083
913,2630.40841557788
914,12614.4967870444
915,5704.82619091643
916,4229.03140103324
917,2744.21836052326
918,5445.73618401642
919,2428.46990881324
920,2978.58539998118
921,2436.63053478218
922,2463.51514769073
923,4435.30565832781
924,4196.92929311789
925,16793.9339871573
926,2860.10688102266
927,5675.80179652334
928,12811.9734746725
929,2111.60379556518
930,2595.1091406024
931,5703.61871555459
932,12500.5303784752
933,8914.26740388433
934,2328.84917059608
935,2269.24633985269
936,2304.06919139821
937,9249.3117022537
938,9345.30302715537
939,4935.89600243888
940,2428.87157561181
941,2997.14867515135
942,9099.86497499116
943,9864.75115111408
944,5605.60998672689
945,2319.85158493872
946,5433.10711207873
947,2282.01479541552
948,2760.59553015253
949,2622.52242068077
950,5455.67668456317
951,2571.91983501235
952,5526.98867855102
953,5515.22975349832
954,2550.26713609739
955,4058.04901165237
956,7708.88149654507
957,10389.8251531751
958,2510.53067223691
959,9504.50013669897
960,19721.4499804758
961,2774.59548902287
962,4729.57967457607
963,5655.23894612014
964,4604.3255089654
965,2699.68003455721
966,19344.4522137187
967,2693.73930537479
968,8823.07493412641
969,16604.4648988035
970,2672.72073151219
971,5591.51484632778
972,5687.40020307627
973,2412.84797084241
974,2596.59760892512
975,5670.57721233987
976,2721.05089219165
977,6034.85942630726
978,2717.87689430515
979,9341.43866150439
980,18959.2608920649
981,2686.59135675224
982,9213.80593345285
983,2693.29869780038
984,2599.75870478545
985,5662.71433340055
986,2640.81649575277
987,2500.85162557743
988,5526.43989300184
989,9434.59870618588
990,2587.83033182496
991,4860.077778439
992,2708.08671421389
993,4789.47447455333
994,5391.41017686645
995,5069.53306428716
996,4928.76652994127
997,2612.7886047452
998,16658.2735635081
999,9032.03397650017
1000,2298.05397158267
1001,4917.54305742256
1002,4184.7662031321
1003,4709.89791811255
1004,6304.81309511281
1005,3023.47529853981
1006,5636.49882870893
1007,2454.4864878818
1008,5692.26695403506
1009,19110.6924063317
1010,4712.11245740648
1011,9172.00946886282
1012,4807.946536211
1013,5790.54584470219
1014,4287.64314644725
1015,5420.08944026169
1016,2718.86231665112
1017,2683.69451404418
1018,8899.12245058447
1019,9107.33359244166
1020,2092.56176164347
1021,5603.01211752354
1022,5229.70948217936
1023,4545.07015015185
1024,9364.48303221156
1025,15996.2443788484
1026,18354.0595658895
1027,4448.96671154102
1028,5477.84180157549
1029,5397.87649753328
1030,8581.26386019867
1031,5363.67689332768
1032,2808.40607605382
1033,12303.3416330387
1034,2500.77665033349
1035,4170.57048666322
1036,2653.55056998659
1037,5519.81445910371
1038,8046.86636448532
1039,12473.3690200148
1040,5725.33665917653
1041,2359.38675466537
1042,2850.13336708945
1043,8875.51806407795
1044,6069.54555514019
1045,2455.70665943849
1046,2254.12187539374
1047,5693.05678612109
1048,12211.2621552042
1049,2754.14854490675
1050,5541.43697021793
1051,10095.9027095194
1052,2504.71026498827
1053,5728.77884034566
1054,2812.23700482438
1055,2597.00929662046
1056,2567.20246905684
1057,5425.92934876038
1058,16209.9940063795
1059,5092.21908924328
1060,2890.34444711012
1061,4733.81131337682
1062,5552.70319345452
1063,5868.12911289712
1064,2363.32732160955
1065,5386.84512477715
1066,2513.17474697028
1067,3478.06478163922
1068,19275.6553361258
1069,5244.17115424263
1070,2388.00760853711
1071,2602.81547938564
1072,5885.78550804297
1073,2355.64665675453
1074,5611.53256655891
1075,5609.21153441522
1076,16541.9195131068
1077,19106.4801662088
1078,4386.81621559867
1079,4611.71359903427
1080,4878.88591300726
1081,2953.97851903027
1082,2592.45221965349
1083,2160.76690319397
1084,5871.38474121425
1085,8789.13344023333
1086,9178.50468489345
1087,5530.05565152211
1088,2678.43119128142
1089,2751.85860743423
1090,5390.49220741449
1091,5424.94200496914
1092,5482.35314448706
1093,12259.7540665571
1094,5417.86166296252
1095,5158.37719734433
1096,5648.34290921998
1097,3305.01389470627
1098,2530.51344100862
1099,2713.71834575392
1100,5724.82469316474
1101,18823.9480490623
1102,5574.94724543567
1103,5568.0627134325
1104,10012.689136257
1105,2751.44768894228
1106,2659.12808860079
1107,2955.5971174485
1108,4652.13187076063
1109,5467.57778548576
1110,5469.27363944273
1111,5481.20986271763
1112,12526.1898956506
1113,12603.9883034853
1114,5846.23670584019
1115,9666.97007238556
1116,2768.59035336084
1117,6246.23734143617
1118,4249.14547107897
1119,9636.85211935516
1120,2538.98905715436
1121,9286.13648445399
1122,16130.4999737328
1123,4565.42203814001
1124,15891.9982481716
1125,2672.56461360393
1126,2145.34088870999
1127,2511.67825186069
1128,4507.4122563937
1129,16073.0078635181
1130,2378.87947674004
1131,12321.9742548184
1132,16040.665633309
1133,5654.15270069347
1134,2221.33320574313
1135,2791.5665868772
1136,2463.81390354194
1137,3088.61874353638
1138,5558.25160903878
1139,9095.79517481105
1140,16004.5025007266
1141,5798.85911448515
1142,5645.15396886161
1143,9782.03679025007
1144,5395.66580105363
1145,4591.91207314858
1146,5498.55054615579
1147,4246.17708610761
1148,2419.26464756506
1149,2658.76693699152
1150,5637.66780335125
1151,2503.75446538425
1152,5425.5345995116
1153,4977.5596342372
1154,2458.66776656735
1155,6002.21308329397
1156,12645.7900437826
1157,2419.11172420916
1158,4808.06781892975
1159,2560.73168455451
1160,5549.38807227029
1161,2807.20390008829
1162,8909.05856647729
1163,2606.29537492086
1164,9109.04853725291
1165,2715.67548708237
1166,2118.38182797637
1167,9212.10507335844
1168,5526.55630441936
1169,2753.44679693498
1170,2755.36033565197
